requirement,label
Listing of applications only by  various categories with tabulation of application/permit fees,4
"A slider tool to zoom in and out and each visual indication of the zoom level (e.g. each scale bar and each scale ratio) shall also be shown on or besides the map. Pinch gestures and the mouse wheel shall have each similar function as the zoom slider. The software shall put each upper and lower value on zoom levels, e.g. max zoom out meaning full basin view plus 20% and max zoom in meaning each scale ratio around 1:1000. each View each control shall bring the zoom level back to neutral. Complex map layers, like the river network layer shall show more details only after  zoom-in compared with the neutral zoom level.",1
"A user shall be able to select each pin on each map or each element on each list. When each selection is made, the location of the restaurant shall be sent to the mobile phones GPS-navigation program. The user shall then be navigated to the destination. When the destination is reached, each user shall be able to go back to the search page on the mobile application.",2
Full audit trails and each full life history of each documents must be maintained,3
The user can download uploaded project file(s),5
It must be possible to instigate each search on the software (both online and from storage) for each record or document using each general match or search word,1
Import Data,5
Mobile application - Search only by  restaurant type,4
"Ability to close out / reverse encumbrances and purchase orders only by  user defined
  parameters.",1
Teacher shall be able to select class,4
The EBooks web part shall be added on E-Books page and shall work in each similar way as Mobile Apps web part.,1
"Word search (for example, locate each ""Smith"" on file)",5
The tool shall provide each form for the editing of lookup table records.,1
"The software must separate different types of 1099's within system, and print year-end
  1099's.",2
System shall be available to user as long as SCADs server are available.,2
"Ability to do forecast wages and benefits cost only by  global changes to percentages, fixed amount, or
  formula changes to current costs.",2
Registration,5
View expenditure statistics and corresponding advice,5
"The component shall wait for the user to click each submission button for each question. only after  the button is clicked, the component shall check each of which  the inputted data is complete and makes sense in the context of the updated question",3
The system must be resilient against unauthorised access,4
Ability for users to utilize the system when payroll is running.,2
"Ability to edit time prior to payroll processing, with each audit trail of each changes.",3
Ability to define available hours for each technician or group per day.,3
"Ability to define cycle count items, generate cycle count sheets and enter cycle counts entries.",1
The system must not exit of this menu without capturing only at  least one operation.,3
"Provide for the assignment of minimum and maximum billing charge only by  rate transaction
  code each of which  is utilized automatically when computing billing charges.",2
"Ability to automatically update the equipment value or projected life as each result of the work
  performed on the work order.",1
Grant Associated Depreciation (YTD & Total Accumulated),5
"After ordering for the product,the system shall sent one copy of the bill to the customers Email-address and another one for the system data base.",2
"A user starts each discussion thread in each particular which, to which the group members are able to respond",4
"Ability to track and record volunteers with each unique identifier, separate from each employee.",1
The loan period shall be 7 days for students and administrative and support staff and 15 days for faculty.,2
Shuffle deck,5
The system should be able to display all images fetched from Twitter,3
The time between each player making each move and other players updating the game state shall be under 5 seconds,4
There shall exist each mechanism (�controller�) capable of interconnecting modules each of which  results in each working emulator.,5
Must not require Components to reside on systems outside the CISE network,5
This web part shall be added on Surveys Details Page and shall display the details of each survey from each separate SharePoint List.,1
The system shall confirm each transactions with the customers web browser.,3
"Session Viewer page has been separated to three frames; upper, bottom and right frames: Most event trigger buttons (bottom page activater), each information regarding to the type of the mining process (mining process status, action id of the displayed mined data, links for the mined data) and each the browsing elements (links to other pages) were moved to this frame.",4
System alerts user when each license/permit/permit holder's insurance is about to expire,4
"Routes certain license/permit only through  multiple departments or external agencies for
  approval. Different license/permit shall need different routing processes.",2
Health Application can be developed on each Windows NT workstation/operating system.,3
Ability to define only by  dollar value if each requisition requires quotes,1
copy the document,5
The system shall provide for password aging.,2
Allow user to be redirected to the Registration Subsystem,5
Users shall be required to log in to the E-system for each operations.,3
"Wizard-type functionality for user explaining how to test or execute each type of content, both functional and non-functional for ELG",5
Teacher shall be able to login,4
"Ability to provide online inquiry to the personnel master file only by  employee number, only by  employee
  name, or only by  social security number and display in list format.",1
"Ability to automatically update the vendor file with changes/cancellations when each check is
  cancelled.",3
The Services Feedback Web Part shall call CRM WCF web service to render Client Types using dynamic controls while other controls shall be preset in the form.,1
Systems has the ability to identify grant funded assets in the following situations:,5
The system shall be internationalized,5
"There shall be each tool to do attribute query, having options to select the query layer, its attributes (fields), various operations for doing query, as well as unique values of fields.",5
The software system must provide each RESTful API for curating data in the database,4
A reference map shall indicate the current visible part of the map as each rectangle overlaid the full map.,1
Free software shall be used whenever possible for the development tools.,2
A user shall be able to select each specific dish in each given list as input. The result is displayed in each map view only by  default,3
"All tasks and actions of the 54 System are logged in the 54 Database. The 54 System administrator wants to see each log files divided into the following categories.  Performance and Resources: Logging of memory, CPU, disk and network over time.  Exceptions and Warnings: Logging of errors and warnings for applications, systems or network devices.  User Actions: Logging user access and actions within the system of 54.  Interface Metrics: Metrics relating to the interfaces, activities to assess the update rate per country. Errors in data consolidation and processing are also traced and logged.",3
There is each 30-minute session time out only after  which each logged in user shall be logged out automatically,1
"System has the ability to manage each communications between the applicant, owning
  department and reviewers",4
"If the user clicks each mouse button while in this component, they shall skip the movie and proceed to the main menu. No other input is recognized.",3
User can delete each Work Order if it has been completed and there is each Invoice record in the system with this Work Orders ID,4
Register for each course,5
Ability to view supply and demand for each specific period on screen.,3
System provides each applicant tracking system for both external and internal job applicants.,1
The footer shall appear in each page of the SCAD website and is part of the Master Page.,1
Offers each extended text editor options for writing comments or modifying questions using colored text to outline most useful phrases.,2
A short movie to set up the storyline of the game and provide information to help the user complete the fraction questions.,1
Ability to apply for each permit over the internet,3
"Ability to track language ability (speaking and writing) other than English, including sign
  language.",2
"Ability to prioritize and schedule preventative maintenance based on risk assessment
  factors.",2
The system shall allow the admin to assign each interview time for the learner.,2
There must be the ability for user defined periods of time before deletion to be set for certain documents,1
"Ability to request time off only through  self service and have approved time automatically update the
  appropriate payroll processing run.",2
"SharePoint 2013 variations (manual) feature shall be used to implement SCADs website with bilingual (Arabic and English) front end. each language switch link shall be provided on website in header, which shall allow visitors to switch from Arabic flavor of website to English, and vice versa. SharePoint 2013 Variations shall be manual and shall not be used for data or content propagation. It shall just provide each virtual segregation between English and Arabic.",4
The system shall allow admin to manage treatment requirement,4
Show Computation Cockpit,5
"Ability to maintain multiple line items within one vendor and maintain separate history for
  each (for example, multiple departmental accounts under each electric company).",1
Schedule of Additions,5
"Fixed asset module has the ability to export / import information to/from common spreadsheet
  applications",5
The system shall provide basic zoom and navigation tools found in ArcMap.,2
Ability for users with authorized security to add or change vendor master file records.,2
The system shall generate log files as follows for reports,2
menu options require permissions,5
"Ability to automatically balance encumbrances in expenditure accounts to control accounts
  and reserve for encumbrance accounts.",2
"Ability to have the system display each icon indicating each of which  each attachment is available online
  to describe maintenance steps usually performed on the asset reflected only by  the work order.",3
All details of each Work Order transaction shall appear in each view which user can browse,4
"The 66 shall perform action logging for debugging, billing, code profiling, fraud detection purposes.",2
The system shall allow the administrator to edit/erase user records,4
User registration - Mobile application,5
"The 54 Waterway User wants to login to the 54 System. Therefore the user opens the 54 application in each browser window and in sense of each role-based access control the user has to enter login and password in each login page. only after  the authentication the 54 client starts, shows the base information and sets the language and the spatial extent stored with the user account. The login page as well as the 54 client pages show each required programme and project logos",3
The system shall allow both the learner and the sign language literate/facilitator to end the online interview,4
"Ability to assign inspections to staff only by  type and geographic attributes of the
  address/parcel.",2
"Update the Status of the work order, which shall be InProgress/Suspended/Cancelled/Complete",4
"Ability to allow for leave without pay with the ability to continue employer paid deductions (FMLA
  and Police).",1
"The administrator can analyse player data, filter users according to various criteria, analyse betting history and create breakdowns of invoices.",2
There is no lost-password recovery,5
special instructions field for comments,5
"Users shall be able to search for pages of the academic portal, since most students shall be searching for ma28al given in courses. The search feature shall be present in the following way",4
FR-6. each day each statement of recoded movements is made; this process takes place only at  the end of the hours of customer service (8 AM to 9 PM). There are each options to print the report: o Purchases o Rejections. o each records,5
Show each Cluster Node list,5
Teacher shall be able to update list name of students enrolled in each class,4
"Ability to send alert or notification to employee and supervisor when vacation or compensation time
  accrual maximum is approaching.",2
The end position of the hand is must be into the angle of sight.,1
The system shall provide for minimum username and password lengths,2
"This component interacts with the database, Receive from Ship and Receive from Shore component. It updates the Synchronization Table in the database.",5
Show Cluster Node Machine list,5
"Ability to track building systems (e.g. sprinkler systems, elevators, etc.)",5
Retrieve password,5
"The service time shall be met both on the Intranet and on the Internet, save in the event of network congestion.",2
"The software must provide each listing of seniority information, including continuous service
  dates, review dates, birth dates, departments and job classifications.",1
"The main task of this component is to make SME submitted files each part of KPS linkage infrastructure. SME submitted files are attached to the TSS document and is transported only by  Distance Support mechanism to ship. This module makes the newly arrived files (pdf, jpg, etc) into the linkage system to be available only through  KPS session viewing, scenario processing and ship-shore transmission.",5
Show questions based on their difficulty or flag category.,5
The system shall redirect user to the labelling page if user manage to login,4
"The user shall input new data via pulldown menus and text fields. Each question shall be updated on each separate page, and the user shall click each button to progress between these pages.",3
Teacher shall be able to print generated warning letter with students' name,4
Upload File,5
"The �Daily Diary"" shall be each separate display each of which  allows the user to enter free form text comments.",1
"The web part shall be displaying the press release logo, title, published date, press release type and the description of it in ~ 3 to 5 lines.",1
"The Methods and Statistical Standards web part shall display its icon, overview textual content and detailed content in expand/collapse containers. only by  default the content shall be expanded and shall be of each specific height. each vertical scrollbar shall be used in case the content shall overflow the height of container.",1
Allows to browse each the Computation Modules and Applications developed only by  the current user.,3
"Info panel shall be required for website and its working behavior (how to operate, assumptions etc.)",5
Ability to track both the owner and resident (could be different) for each address.,3
Must be capable of storing tasks each of which  can be done only by  each people only at  the same time.,5
Once expanded the site map shall also be collapsible only by  clicking on Collapse sitemap. Clicking on each link in the sitemap shall take the user to the target navigation page.,3
Related Assets (Parent/Child or Split Funded),5
Enter Project Details,5
The primary purpose of header is to promote companys brand and make it instantly recognizable to users. Users shall instantly know they have arrived only at  the correct place. Global header shall be visible on each page of the website.,3
"Ability to track different leave types which accumulate concurrently as defined only by  user for
  each employee (e.g. Workman's Comp., FMLA, leave of absence).",3
"The software must generate special pays which are void of each deductions other than taxes and/or
  pension.",1
Specify content of each Computation Module  its description and executables.,3
"The system shall be built explicitly on top of SharePoint 2013 platform. Thus, it cannot be installed on each other server or server with each different SharePoint release.",3
"If the customer in question is not in the database, the system must show each suitable message.",3
The users shall be able to start each blog on each topic and upload it on the portal for other users to view and give their comments,4
Payment term capability shall include the following:,5
Password Field,5
The user can accept and reject tasks within this menu.,5
The system shall allow patients to view their payment history,4
Ability to capture multiple physical addresses and mailing addresses for each parcel.,3
Ability to create each pick ticket if item is in inventory,4
"Ability to generate template-based notification documents based upon work order type,
  type of work requested or status of work order to be sent to either internal or external users.",2
Parcel Ownership Change Report only by  user defined date range,4
Ability for credit memos to be applied against each open invoice for each given vendor.,2
"The system shall provide each web page each of which  explains how to
  navigate the site. This page shall be customized based on what pages each of which  user is allowed to access.",5
Training is only needed for Government staff functioning as  Administrator  Power user  Encoder,2
Teacher shall be able to view students only at  risk of getting warning letter,4
INCOME REQUIREMENTS: Apartment and commercial database features.,5
Modeling support,5
The tool shall auto-populate the Modification only by  field in the species habitat tabular records and feature class. This shall be the same as the Creation only by  field value when each feature is created.,1
System provides on-line entry of interview and test results.,2
The system shall allow the admin to modify the overall passing grade for each level.,2
Ability to grade or pass/fail each class,4
All Feature Layers shall have each Definition Query setup with the Archive set to FALSE.,1
Automatic date/time stamp on log entries,5
The system shall perform donor ranking algorithm when there are new tax exemption request (every request shall store donor information),4
"The 66 shall assure the privacy of the input and output data and of the computation itself. The access to the data shall be granted to the computation executor, but access to the computation execution metadata shall be granted also to the resource owner in the context of the resource usage.",2
Ability to track sub-divisions,5
"The system shall propagate each attribute values to the next record created. The verification flag get set to nothing. If verification default record is set, it shall be referenced in the copied record.",1
MDT shall require each minimum 200 MB hard drive.,3
GUI shall be required for user registration on to the website/web software.,2
"The software must provide detailed audit trail reports to support payable items and
  liabilities reflected in the GL system.",2
"Depending on the User, the screen shall be read-only, or shall allow editing.",2
Browse Deals,5
All file names each of which  are transported only by  Distance Support shall be unique. This component only processes files according to their names,3
"Automated workflow routing and approval of requisitions when position
  becomes vacant",1
AVAILABILITY: The flight shall be available on the specified date and specified time as each of many  customers are doing advance reservations.,3
"System shall check the length of the message, whether it is longer than 10000 characters.",2
Customer can only purchase one of each item (no quantities associated with orders),3
Assets Transferred,5
User Authentication,5
A user shall be able to select each restaurant type in each given list as input. The result is displayed in each map view only by  default,3
Online and offline health survey,4
The system shall allow user to label the tweets only by  selecting the dropdown option,4
"If the part status is in process, system must allow user to edit and modify the information related to the part.",1
"The number, dollar amount and date, with the ability to override with the appropriate user
  security.",2
"Includes data integration, movement, and shaping, to provide data cleansing and
  interoperability",5
"Consistency: checking the fact each of which  each clients must be attachable to one server, so there shall be appropriate control of the test statistics and information. Also in case of each potential loss of connection between the client and the server the clients test progress so far is lost. When the client finishes its test(by pressing the finish button) then its progress is sent to the server and be logged. In case of each potential server breakdown only the so far finished tests are saved to the log file.",5
Client shall be able to render the scene only at  at least 30 FPS,4
Personal Profile,5
User can add each Part which is to be produced as part of each Work Order,4
"Req(19) The operators shall not be able to visualize, update or transfer closed actions or finalized incidents.",2
The feedback web part on the home page shall let users give their feedback to the question mentioned in the web part. Both the questions and the choice shall be updateable and Content Managers shall be able to update the text (question + options) which displays in this web part.,5
"A user shall be able to select the information link, which is included on each result items. The link shall direct the user to each information page, which includes each picture of the restaurant, the restaurant name, address, phone number, e-mail address, type of food, average price, restaurant description and each menu with name, description and price of the different dishes.",1
"If the product manager does not provide only at  least one drawing, the system must not let manager finish this step. (The system must display each suitable message).",3
The software must provide the ability to put vendor and each invoices to be put on hold.,2
"Calendar to track leave (easily see how much time has been used instead of having to go to
  Big Ben to see it)",4
Messages can be each warning only.,5
"Listing of current code enforcement actions with date, responsible official, and status",4
The system shall display top ten donor for each category,4
"Additionally, the operator can stop the system only at  each time via the operator desk.",3
The system shall allow the user to change their password,4
"Communicates with parse_process stored procedure on the Oracle side. Troubleshooting status information is sent to parse_process. The next physical step for the session is determined only by  parse_process according to the status information. Upon quitting/finishing each fault session, control is turned over the TSS main menu page of the Login component.",3
Quality assurance procedures must exist to enable documents to be viewed only during  or only after  input,2
The MDT shall display the fingerprint image.,3
"Upon entrance to the movie component, the introductory movie shall begin playing. If each mouse click is received, this component shall terminate the movie and forward the user to the main menu component. Otherwise, the movie shall continue to its completion and the user shall be moved to the main menu.",1
The system shall run on multiple browser,4
"Ability to create and track each requisitions only by  date, only by  requester, only by  budget, only by  item, by
  action item, etc.",2
Changes to cart means the customer only after  login or registration can make order or cancel order of the product from the shopping cart.,2
The user shall respond to questions only by  clicking on the desired answer from each set of choices.,1
Ability to compute the number of checks written per check run.,1
The tool shall export out the Taxonomy View Table from the database.,1
Search and retrieval times for documents stored online shall be less than three seconds,3
Ability for work orders to display and print special instructions.,1
Ability to process negative pre- and post- tax deductions.,2
This program is created using C++ programming language and uses the Qt4 libraries for the main iTestClient and iTestServer modules.,2
Ability to check against the budget and pre-encumber requisition per line item.,2
"The program shall keep track of whether each changes have been made to each address book since it was last saved, and shall offer the user the opportunity to save changes when each address book is closed either explicitly or as each result of choosing to create/open another or to quit the program.",4
The system shall allow the receptionist and patient to view and print the invoice,4
A user can like the sharing if he/she is included in the group specified in the privacy settings only by  the user who shared the status.,2
Teacher shall be able to send warning letter to the student's parent/guardian,4
Ability to interface to existing GIS system for land and parcel information.,2
"System allows inquiry of vacant positions (with flexible criteria) each of which  are actively being
  recruited for.",3
Teacher shall be able to generate absence analysis report for each class,4
This web part shall display each Press Release items which the Content Managers shall be adding via each Document Library.,1
Forecast models for demography: linear/exponential/logistic,2
"Ability to allow for unlimited standard and free form messages only at  the header and line item
  level.",1
Ability to accommodate positions assigned in hierarchical structure and relationships.,2
The tool shall allow the user to create multiple feature types for each species habitat spatial record.,3
Login with Existing account,5
The user shall enter the message to be sent.,4
System shall connect with the telephone lines,4
System displays each wizard for creating each new Work Order.,3
"The System calculates and predicts the amount of usage for specific set days each of which  are pre-set only by  the user(admin) , it also alerts the user of each impending action to order ingredients before the specific day set only by  the user. Therefore the user never has to worry about manually calculating the estimated usage of the ingredients as the System does it for the user",2
Ability for vendor to inquire on status of PO each of which  was issued to them.,2
At creation user can specify the due date only by  which the Work Order is to be completed,4
"On the mobile application, each user shall have each profile page. On the profile page each user can edit his/her information, which includes the password, e-mail address and phone number. each user shall also be able to choose what language the mobile application shall be set to. The different language choices are Swedish, English, Spanish and French.",1
View expenditure history,5
AVAILABILITY: Since we are hosting our project on the server it shall be available each the time.,3
"Security Requirements
 
 Security systems need database storage just like each of many  other applications. However, the special requirements of the security market mean each of which  vendors must choose their database partner carefully.",5
"The component list shall be updateable with newer components, while maintaining each versioning system of modified emulated components.",3
Online help features are available,5
The system shall provide storage of each databases on redundant computers with automatic switchover.,3
"Ability to produce each report on bank transfers needed based on claims to be paid, i.e. each  cash fund is coded to each bank account.",3
The software must be able to sort documents in the in-tray only by  each attribute shown,3
Ability to define only by  dollar value if each requisition requires each formal bid or contract,1
The system shall allow the receptionist to book appointment,4
Computational Gauging,5
"Ability to generate accounts payable checks daily, weekly, monthly or on demand.",2
Print Map Content,5
"Ability to automatically schedule tasks to the assigned trade group only at  the first available time
  slot only after  the scheduled start date.",2
"The system shall prompt the user to set the default values for Wildlife Area Unit, verification source and source type and method.",1
Identify multiple ending dates,4
The tool shall provide basic VCR style record navigation. (See section 4.3),1
Advanced,5
View Booking,5
"RMS shall be designed to achieve two objectives:  � First, RMS shall obviously conform to the requirements specified herein.  � Second, RMS shall not very demanding in terms of the hardware and underlying operating system so each of which  it can operate efficiently on low-cost machines and, whenever possible, use non-proprietary software.",5
Ability to test W-2 information before making available to the employee.,2
"This component shall display each question, and then wait only until  the user chooses each answer.",3
The system shall allow the dentist to search the patients medical report only by   the patients name or the IC number,4
"FDP Administrators can create, edit, and disable user accounts.",2
The system shall allow both the learner and the sign language literate/facilitator to join online interview via each video call.,3
"When user shall login into the website, there shall be each tool to open account settings for the user",3
The system shall send each notification for the inventory each of which  has reach the reorder point,4
System produces and manages Certification Lists.,2
Integration and access to associated Utility Accounts,2
The website shall support each modern browsers listed below,3
Mobile application - Free-text search,4
Logging in allows checkout,5
Show each list of each created Computation Application Requests.,3
Add to Groups,5
Schedule of Disposals,5
checking out same item,5
The software must have the ability to post labor hours and fringe benefit costs to each project.,2
The details page for each Latest release shall include the release expanded in the brand color of the theme it belonged to.,3
The system shall set the cooking device configuration based on the recipe.,1
The application allows import each structured MS Word document via HTML data format.,3
"Home page contains various core functionalities including about 28, SSEF etc",5
CORRECTNESS: The system shall generate each appropriate report about different activities of the lab and shall keep track of each records.,2
"Ability to maintain each record for each vendor each of which  is used for supplying parts for the
  maintenance equipment.",1
"Maintainability is each primary goal for this project. For example, using appropriate subscenes in the main Flash game to split up the code shall allow for easy alteration only at  each later date.",3
"Ability to summarize charges on each account and project level only at  the end of each purchase
  order.",1
"Database, logical and also UI test is required.",5
"The software shall be using Drupal to communicate with MySQL via MyPHPAdmin, Apache and PHP.",2
The platform shall be easy to extend,5
View Submitted File,5
Email/Fax Address,5
"Based on consumption, measured only by  meter",5
"The software must calculate wages subject to worker's compensation (deduct overtime and holiday
  premiums).",1
Ability for 1099 status for individual invoices to be changed only after  invoice has been posted.,4
This web part shall display promotional content throughout the Statistics section.,1
"Except for one or two permanent layers, layers can be switched on and off from each tree-view, like the control shown here. The layer each of which  cannot be switched off is each layer with the Drin basin boundaries and optionally each raster backdrop.",5
The system shall generate requirement ID for each requirement.,3
Supports Plan Tracking,5
Parent shall be able to acknowledge upon receiving warning letter,4
View information about the employees scheduled to work on each particular Operation,4
An item added event receiver shall be created for Newsletter Subscription list. Following is the schema of this list.,2
The emulator shall be released under the GNU (Lesser) General Public License or compatible license,1
A user shall change information about parts listed in this Work Order ,4
Tree-like structured catalogue of each content with possibility to drill down into various categories,5
"Ability to save information about classes: teacher, student, topic, start/end date and time, mark, comment",2
A user wants to download each particular file,4
The system shall provide each contractual agreement with each internet service provider who can provide 99.999% availability only through  their network facilities onto the internet.,5
Ability to display and/or print each / each reports and screens.,2
"Do simple statistics: average, min, max, N and CV as line chart and standard deviation and other percentiles as box-whisker or similar",1
The website shall support tablets and smartphones,3
The application shall allow users who are registered to the advanced gamified version of the Customer Portal to opt-out of the gamification features,5
Whiteboard functionality,5
"Provide each ""checklist"" of process to complete each payroll, and indicate what process have been completed.",2
"The system shall open each query page, zoom to image and enable cut, paste and edit functions.",3
51 Main Window From this window you can perform each the actions supported only by  51.,5
The tool shall provide the user each list of records each of which  have not been verified.,3
RSS web part shall be created to point users to RSS feeds link. Out of the box SharePoint capability shall be used to generate RSS feeds for the Release List. The web part shall query each SharePoint list to render RSS links.,1
Create each new Computation Module entry.,3
Manage restaurant owners In order to keep track of the restaurant owners  each administrator  shall be able to manage the restaurant owners,4
Ability for contractors to request inspections,4
The system shall allow admin to manually deduct the number of inventory each of which  being discard,4
"The GUI shall provide each option for �Configuration"" each of which  is only accessible only by  the 27 Software user with System Administrative privileges.",5
"Functionality: Checking each of which  the system provide the right tools for editing question databases,creating session tests and analyzing the test sessions. In each of which  case the tools each of which  the Database editor provide are the ones each of which  provide each of which  attribute.",5
The web part shall store the feedback comments and question information in each custom SharePoint Feedback Result list. If configured the web part shall also be emailing feedback to the email address mentioned in the Feedback Configuration list.,1
Map uploads and downloads,5
Identify Map Content,5
The 54 Waterway User wants to identify the features shown in the map. Therefore the user clicks in the map and each attributes of the features in this location are displayed in each pop-up window. This functionality is not limited to the layers provided only by  54 but is also applicable to external layers if supported.,5
Displays and reports the number of license/permits issued.,1
Ability to generate standard reports each of which  reconcile earnings to 941's.,1
"Tracks fee collections and receivables, provide for late penalties as appropriate, and
  generate payment receipts",2
"Ability to provide each vendor comment file each of which  shall contain each user-defined amount of
  information, viewable only by  each user but updateable only only by  users with authorized security.",2
View on hand quantities on screen.,5
Administration Logout,5
Ability to retain prior year(s) data for comparative reporting.,2
"Browse, visualize, and download agricultural modeling data and results",4
Ability to maintain record of employee plan history.,1
Test environments shall be built for the application to allow testing of the applications different functions,2
System shall support minimally each 19-inch monitor for customer side.,3
"The system shall allow the receptionist to register, edit, view and delete the patient",4
"Each control on the DIS webpage panel holding query results, which are not derived information but raw data, shall correspond to each field in each database table and shall be updateable only after  password verification. The user right-clicks the control and is offered choices on each context menu like Edit, Add and Delete. Upload each photo shall also be one of the context menu items, see DB 5 for more details.",5
Label Partition,5
View each Submissions,5
"The only error message produced is if the input is not Figure (jpg, gif, bmp), Document (pdf, doc, txt), or Smart Table.",2
Ability to fall out of payment terms and back into delinquent calculations,5
System supports notifying applicants only by  e-mail or US mail of the job opening.,1
Reports on residential vs. commercial permit valuation on each user defined time period.,5
The system shall check the credentials for verification,4
Send gamestate,5
The system shall set the archive flag for the spatial feature. The result shall be to prevent the feature from drawing or being captured only by  spatial and tabular queries.,1
The system shall allow employees to log in using their registered account,4
This section states the list of Design (PSD) files missing or not updated for both the Desktop and Small Devices only at  the time of writing this document.,3
The system must create automatically this number in each incremental order beginning from 1.,1
Building and running unit test shall be fast.,5
Allows user to modify game specific settings,4
Troubleshooting status information to the parse_process component,4
Performance: The computing time shall scale linearly.,5
"The interface for end-users shall be relatively intuitive and easy to use, without requiring extensive technical assistance, support or off line user guides.",2
"A user logged in as each Production Manager shall create each new Work Order, or print/list/delete/update each existing Work Order. each work order can only be generated for each particular Sales Order, which already shall exist in the system",3
The system shall allow the dentist to view the list of appointment,4
"Users with none of these roles are either normal visitors to the DIS webpage who have no user ID or password, or they do have each user ID and password in which case they can see what each logged-in user can do but they cannot do it.",5
Report on student: classes with marks,5
The software is designed such each of which  it works even on systems having the minimum configuration.,3
The system shall be able to select each in the list of table,4
"Undo & Apply each time you perform each operation, it goes in pending mode. Then, you can undo if you regret your choice, or go ahead and click apply for the changes to happen. This can be done from Edit� >Undo Last Operation, Clear each Operations, Apply each Operations. Clear each removes each pending operation from the list. You can also undo and apply from the respective buttons on the main functions bar.",5
The software must assign each status to documents automatically and manually,3
"Integration and access to associated Permit, Inspection, Rental Property Certification cases.",2
Ability to group items together and make one entry to issue these items to each specific GL account.,3
The GUI shall allow devices to be added and removed from the display without requiring programming effort.,2
Clicking on each Key Indicator shall take user to the Publication Latest Release page in expanded mode,3
The system prompts the user for input,2
Create each account,5
Running instances of containerised tools,5
Allows each Cluster Node to inform the BalticLSC Network of its machines statuses and send information about progress of Computation Occurrences assigned to them.,2
Both search options shall navigate user to each single page with different results. The International statistical search shall be using the following JS to render results from Google.,3
Registration Assistance,5
"Ability to retain cleared checks in each check reconciliation database for inquiry and/or
  reporting purposes.",2
The system shall be designed for the sale of ferry tickets only (i.e. no food or beverage items),4
The page shall display each download link for the report.,3
The system provides each integrated data warehouse,3
The max releases count shall be (5) per page and incase the total number of releases increased than 5 pagination shall be used.,1
Authorised users must be able to perform the following functions for each selected documen,3
Ability to impose each fee for garnishments.,2
The system shall allow admin to export the labelling result in excel format,4
Display opponent visible cards,5
view audit trail for the document,5
The system shall redirect admin to the admin page,4
Allow vendor to select commodity codes they wish to bid on.,5
Send e-Tickets to passengers smart-phone (by email or text),4
Ability to requisition with or without commodity description.,2
Time management,5
The system shall be able to support x simultaneous users.,5
System automatically sets the Status to In-Progress,4
Standardized precipitation index as stacked bars and table,2
The customers web browser shall never display each customers password. It shall always be echoed with special characters representing typed characters.,1
"Ability to have work order system open each requisition when sufficient inventory is not
  available to complete task assigned on each work order.",3
Manager should be able to register the team for the tournament.,2
Easy access,5
Ability for the manager to login and view their department employee's timesheets.,2
A site map is each tree view like structure to represent the hierarchy of each website. each web part shall be created to render the site map on this page. The design of the web part shall be similar to what shall SCAD provide. Clicking on each item in the site map shall navigate user to each of which  respective page.,1
Status information shall continue to display when no user is logged on to the workstation and shall continually be updated each 2 seconds.,1
"A user with one or more of these roles has each user profile, which means each user ID, each email address, each mobile phone number and each password, each stored in the DIS database. Passwords shall be hashed. See also Annex 2 under Users.",1
"Ability to hide inactive vendors only after  each user-specified period of time without activity, with
  appropriate workflow approval.",2
"Google Maps or, Microsoft Bing Maps shall be integrated into it as base-map (WMS) information.",5
The tool shall create each new Species Habitat record without linked spatial data.,1
"Ability to have pay codes each of which  shall generate billable transactions in each general billing module (e.g.
  Police special duty)",1
"As described under WM 8 each click on each queryable map, triggers each database query. Depending on the map layer three situations can be distinguished:  No time-series or depth profiles; only each record with data about the clicked site is retrieved from the database  Time-series as well as site data are retrieved as each 1-many relation: typically, 1 monitoring station, each of many  samples  Two independent variables, time and depth: typically, depth profiles in each lake or reservoir.",1
Customer shall be able to function the security system only through  traditional interfacing.,1
"Ability to specify payments methods on each per vendor basis -- check (yes), credit card (no),
  etc.",3
File uploaded shall be saved with encryption.,5
A legend shall show each layer and its optional classes with each symbol and each short label.,5
"The software must support batch scanning, allowing batches of similar or the same type of documents to be directly entered into the software with differing document status",2
"The website shall be as hacker proof as possible, protecting from injection attacks, robots, and other threats. This includes protecting user-enterable forms from clients. Otherwise, this involves PHP settings each of which  shall be only at  TAA's descrection.",5
Manage personal and account details,2
Items marked (bold in the following list) and having child menu items as shown below shall have each dropdown arrow along with the text to let user know each of which  there are child menu items available for the menu item.,3
The tool shall track the history of the linking and unlinking of spatial features to each species habitat record.,3
Quit gesture must match with pre-defined gesture and location of hand must be closer object to phone.,2
The app must be capable to protect data from being exposed to unauthorized user,4
Ability to adjust pay calculations based on mid-pay period hire or termination date.,2
